pair,category,metric_a,metric_b,metric_c,mi,network
"('Jnk', 'P38')",no_edge,0.19570901512659744,0.147713400784817,0.0008280811683571677,0.066441028912618,sachs
"('Jnk', 'PIP2')",no_edge,0.5838989971797397,0.44070379963064843,0.061496478574272984,0.001005432507086448,sachs
"('Jnk', 'PIP3')",no_edge,0.2151383257072581,0.13969456691017576,0.1117963551886082,0.0013809770137153538,sachs
"('Jnk', 'PKA')",pc_solved,0.1141164601275888,0.0861305770716143,1.5885473162839825e-19,0.18820914354505597,sachs
"('Jnk', 'PKC')",pc_solved,0.03042725632446519,0.022449721735104483,2.045583423863259e-20,0.1484085055191211,sachs
"('Jnk', 'Plcg')",no_edge,0.5217667374284575,0.3938088347749381,0.012326254737334397,0.0001222510831069279,sachs
"('Jnk', 'Raf')",no_edge,0.15494844955055642,0.10470392905400171,6.461830285629976e-05,0.09261322398026398,sachs
"('Mek', 'P38')",no_edge,0.2221258696263987,0.16437443243060743,1.3354241534000111e-05,0.1016727767287082,sachs
"('Mek', 'PIP2')",no_edge,0.6103158516795409,0.45163727166025075,0.07710912226587652,0.0004999333914767028,sachs
"('Mek', 'PIP3')",no_edge,0.1887214712074563,0.12254145838640541,0.17200534059613526,0.0008877186907765011,sachs
"('Mek', 'PKA')",mec_edge,0.14053331462738994,0.1039954682825646,1.6583948083142189e-15,0.23226909736459517,sachs
"('Mek', 'PKC')",mec_edge,0.004010401824663834,0.002958939315776307,9.363283094432638e-05,0.12157954569710175,sachs
"('Mek', 'Plcg')",no_edge,0.5481835919282589,0.4056590389157912,0.03348710828634427,0.0007681521622068463,sachs
"('Mek', 'Raf')",pc_solved,0.12853159505075507,0.08685316341291284,2.132105812591254e-24,0.2628626363561203,sachs
"('P38', 'PIP2')",no_edge,0.38818998205314204,0.34376980597328155,0.7617394281048809,0.0023584651537924134,sachs
"('P38', 'PIP3')",no_edge,0.4108473408338551,0.2667732081455285,0.15906820910346064,0.0013087327463046777,sachs
"('P38', 'PKA')",pc_solved,0.08159255499900864,0.06738689594829411,2.384560424141879e-16,0.1919968415095538,sachs
"('P38', 'PKC')",pc_solved,0.22613627145106285,0.16684699777575637,6.823635390954892e-07,0.09352212958626706,sachs
"('P38', 'Plcg')",no_edge,0.32605772230186025,0.28874727611197326,0.1915374129043088,0.0007027258523217769,sachs
"('P38', 'Raf')",no_edge,0.3506574646771541,0.2369511564027199,4.595615916530214e-15,0.0830274669713718,sachs
"('PIP2', 'PIP3')",mec_edge,0.7990373228869971,0.5188344401157519,0.010056534340237457,0.018050021794584425,sachs
"('PIP2', 'PKA')",no_edge,0.4697825370521508,0.38799112177628886,0.02361637498706448,0.0016669119338080692,sachs
"('PIP2', 'PKC')",no_edge,0.6143262535042052,0.4532598436964416,0.08704950009474133,0.0014371980591438155,sachs
"('PIP2', 'Plcg')",mec_edge,0.06213225975128189,0.07736002691213673,6.831314494753989e-91,0.18941211168044178,sachs
"('PIP2', 'Raf')",no_edge,0.7388474467302961,0.4992643093142937,0.28650812132691983,0.0005098788604737947,sachs
"('PIP3', 'PKA')",no_edge,0.3292547858348467,0.21379317032004738,0.15265061949195258,0.001242150683983187,sachs
"('PIP3', 'PKC')",no_edge,0.18471106938279247,0.11993740657838614,0.026821714112209794,0.0017423274537166772,sachs
"('PIP3', 'Plcg')",mec_edge,0.7369050631357154,0.47849044706582794,0.0005287854792120467,0.03852619244249227,sachs
"('PIP3', 'Raf')",no_edge,0.06018987615670124,0.039082755963847624,0.4423809384670505,0.0013189054441534453,sachs
"('PKA', 'PKC')",pc_solved,0.1445437164520541,0.10664669131857707,1.940297701811282e-09,0.17665162492149622,sachs
"('PKA', 'Plcg')",no_edge,0.4076502773008692,0.33667638940955646,0.14922570467065766,0.0005896257042561567,sachs
"('PKA', 'Raf')",pc_solved,0.26906490967814534,0.18181629629452947,7.682917426140042e-09,0.18717071824397608,sachs
"('PKC', 'Plcg')",no_edge,0.5521939937529231,0.40741765775251954,0.18034667341767663,0.00041073602101655143,sachs
"('PKC', 'Raf')",pc_solved,0.12452119322609101,0.08414319871597241,2.2053810583792242e-17,0.11919154374472862,sachs
"('Plcg', 'Raf')",no_edge,0.676715186979014,0.45727943153182565,0.09153680251955354,0.0015109907815972629,sachs
"('Age', 'BirthAsphyxia')",no_edge,0.7882664004982864,0.6148147782772473,0.23940291755939258,0.0005170014852807908,child
"('Age', 'CO2')",no_edge,0.19212177292236543,0.14984693645045502,0.07564412700783149,0.004315541739518751,child
"('Age', 'CO2Report')",no_edge,0.46146999500009545,0.35992726885002224,0.9544755194541881,0.003118603581664603,child
"('Age', 'CardiacMixing')",no_edge,0.265323937261444,0.17145946900321726,0.0021393742297758592,0.013041180072115775,child
"('Age', 'ChestXray')",no_edge,0.888475372395372,0.40932332780591324,0.0009438330502599639,0.015621225301809094,child
"('Age', 'Disease')",mec_edge,0.9136700345056079,0.41610079654834464,8.413733194373075e-17,0.11375803271745029,child
"('Age', 'DuctFlow')",no_edge,0.07722306413413138,0.05680910070405662,0.00013062298915637947,0.012386713810811412,child
"('Age', 'Grunting')",no_edge,0.512927295184793,0.40006180786348555,0.007132108835920496,0.0050029166962605315,child
"('Age', 'GruntingReport')",no_edge,0.4420940877046834,0.344814872659827,0.05369933112204608,0.0025233238244017214,child
"('Age', 'HypDistrib')",no_edge,0.8099625969511391,0.6317369028320785,0.002830162889268192,0.005944195223952748,child
"('Age', 'HypoxiaInO2')",no_edge,0.09978120876874619,0.07220574024799462,0.19033979460268086,0.004764983684831782,child
"('Age', 'LVH')",no_edge,0.41469414975782015,0.3234440686233208,8.556358349699533e-09,0.03138077237923902,child
"('Age', 'LVHreport')",no_edge,0.3901043683264581,0.30426506897415123,3.5668983094318076e-08,0.022466010741569897,child
"('Age', 'LowerBodyO2')",no_edge,0.16645080289605718,0.1149069056046056,0.737099260289986,0.002024489473718069,child
"('Age', 'LungFlow')",no_edge,0.21338967735044823,0.14268691317625973,0.00014626501824317465,0.013626628788954848,child
"('Age', 'LungParench')",no_edge,0.1478399514336739,0.11530897029704198,0.014150027495001096,0.00802082182964986,child
"('Age', 'RUQO2')",no_edge,0.19491589440521984,0.13196421198828062,0.6576541700089674,0.004147712592832864,child
"('Age', 'Sick')",pc_solved,0.3702882449463363,0.2888093226749777,1.884757078789431e-12,0.03168286218975384,child
"('Age', 'XrayReport')",no_edge,0.9250377191928683,0.4191080948486679,0.0014476994963652863,0.015519178504433455,child
"('BirthAsphyxia', 'CO2')",no_edge,0.5961446275759209,0.5469225034436344,0.07255372142201155,0.00035943571880781705,child
"('BirthAsphyxia', 'CO2Report')",no_edge,0.3267964054981913,0.3982164791949268,0.0,0.0001948058300851735,child
"('BirthAsphyxia', 'CardiacMixing')",no_edge,1.0535903377597307,0.680858431861717,0.04425250166287349,0.004390110775704767,child
"('BirthAsphyxia', 'ChestXray')",no_edge,1.6767417728936582,0.7724800750544629,0.1343739949954861,0.003375358453831169,child
"('BirthAsphyxia', 'Disease')",mec_edge,1.7019364350038941,0.7750906558547355,0.7383799607189605,0.020381618072862935,child
"('BirthAsphyxia', 'DuctFlow')",no_edge,0.8654894646324178,0.6366968043278095,0.019634201105232167,0.004371293705536725,child
"('BirthAsphyxia', 'Grunting')",no_edge,0.27533910531349315,0.3579584917722579,0.0,0.0002122675263395296,child
"('BirthAsphyxia', 'GruntingReport')",no_edge,0.34617231279360283,0.41209712240191926,0.0,7.139412774859188e-08,child
"('BirthAsphyxia', 'HypDistrib')",no_edge,0.021696196452852923,0.04393243458081392,0.0,0.003214392396242688,child
"('BirthAsphyxia', 'HypoxiaInO2')",no_edge,0.8880476092670326,0.6426273623443266,0.20236908819230187,0.0013892535790468868,child
"('BirthAsphyxia', 'LVH')",no_edge,0.3735722507404659,0.4306675858432509,0.0,0.0007084649283122524,child
"('BirthAsphyxia', 'LVHreport')",no_edge,0.398162032171828,0.4463621063918641,0.0,0.0013765287390800768,child
"('BirthAsphyxia', 'LowerBodyO2')",no_edge,0.9547172033943441,0.6590752201900327,0.23063798558079052,0.0003829688669859943,child
"('BirthAsphyxia', 'LungFlow')",no_edge,1.0016560778487347,0.66977566856598,0.028648890984779962,3.133411030395439e-05,child
"('BirthAsphyxia', 'LungParench')",no_edge,0.6404264490646128,0.5646104585777458,0.021746684142215922,0.00011565814829894022,child
"('BirthAsphyxia', 'RUQO2')",no_edge,0.9831822949035065,0.6656454425314215,0.006896196711363878,8.54857212055915e-05,child
"('BirthAsphyxia', 'Sick')",no_edge,0.41797815555195006,0.4583938822545636,0.0,4.10799042625809e-05,child
